2022-08-27,11,2,112.45, 114.45, 84.45, 117.45, 102.45, 122.45, 68.45, 87.35, 80.45, 96.15, 113.4, 119.45, 103.45, 130.45, 92.4, 127.0, 134.15, 70.9, 68.15, 110.8, 93.45, 153.4, 115.0, 83.45, 148.0, 116.60000000000001, 155.85, 111.60000000000001, 128.35, 128.4, 90.8, 85.45, 124.0, 108.9, 114.6, 109.45, 73.35, 119.45, 65.75, 91.55000000000001, 132.35, 100.85000000000001, 90.60000000000001, 112.6, 89.15, 85.15, 80.0, 154.45, 75.85, 73.35
2022-08-27,11,3,112.45, 122.45, 74.45, 111.45, 119.45, 109.45, 132.45, 125.45, 122.45, 82.45, 99.45, 125.45, 92.45, 137.45, 142.45, 90.45, 91.35, 103.45, 86.45, 85.15, 153.45, 162.0, 99.45, 117.45, 128.45, 104.45, 114.4, 83.45, 113.15, 101.45, 106.45, 70.45, 96.9, 89.15, 71.45, 112.45, 93.35, 118.45, 83.4, 150.45, 79.45, 104.0, 93.45, 93.45, 104.45, 97.45, 74.45, 108.45, 85.4, 90.45
2022-08-27,11,4,112.45, 94.45, 122.45, 135.45, 137.45, 77.45, 97.45, 88.45, 93.45, 115.45, 120.45, 124.45, 140.45, 133.45, 164.45, 107.45, 99.45, 119.45, 87.45, 123.45, 90.45, 135.45, 93.45, 106.45, 119.45, 102.45, 114.45, 81.45, 124.45, 114.45, 73.45, 124.45, 147.45, 128.45, 113.45, 92.45, 81.45, 117.45, 110.45, 118.45, 114.45, 116.45, 151.45, 101.45, 114.45, 87.45, 130.45, 95.45, 118.45, 71.45
2022-08-27,11,5,112.45, 118.45, 115.45, 95.45, 143.45, 125.45, 71.45, 112.45, 85.45, 119.45, 133.45, 96.45, 121.45, 121.45, 106.45, 147.45, 76.45, 123.45, 104.45, 119.45, 145.45, 89.45, 130.45, 85.45, 82.45, 133.45, 129.45, 126.45, 158.45, 119.45, 129.45, 124.45, 92.45, 131.45, 83.45, 90.45, 88.45, 76.45, 116.45, 107.45, 117.45, 141.45, 87.45, 102.45, 121.45, 128.45, 92.45, 121.45, 136.45, 97.45
2022-08-27,11,6,112.45, 125.45, 118.45, 115.45, 143.45, 95.45, 105.45, 86.45, 103.45, 96.45, 135.45, 82.45, 71.45, 112.45, 108.45, 136.45, 93.45, 129.45, 139.45, 103.45, 104.45, 119.45, 108.45, 99.45, 134.45, 137.45, 95.45, 96.45, 106.45, 103.45, 114.45, 135.45, 68.45, 115.45, 93.45, 102.45, 143.45, 131.45, 106.45, 168.45, 86.45, 120.45, 125.45, 149.45, 106.45, 119.45, 94.45, 130.45, 142.45, 107.45
2022-08-27,11,7,112.45, 140.45, 118.45, 101.45, 143.45, 95.45, 89.45, 113.45, 109.45, 86.45, 148.45, 105.45, 100.45, 133.45, 84.45, 97.45, 133.45, 88.45, 124.45, 125.45, 108.45, 107.45, 89.45, 131.45, 132.45, 109.45, 126.45, 98.45, 111.45, 136.45, 106.45, 83.45, 126.45, 93.45, 150.45, 71.45, 106.45, 92.45, 101.45, 108.45, 133.45, 112.45, 108.45, 94.45, 135.45, 134.45, 85.45, 135.45, 136.45, 120.45
2022-08-27,11,8,112.45, 140.45, 103.45, 118.45, 101.45, 115.45, 143.45, 95.45, 92.45, 122.45, 101.45, 89.45, 127.45, 117.45, 113.45, 128.45, 109.45, 133.45, 127.45, 89.45, 86.45, 152.45, 100.45, 96.45, 88.45, 108.45, 105.45, 124.45, 102.45, 130.45, 133.45, 84.45, 142.45, 116.45, 86.45, 114.45, 117.45, 148.45, 112.45, 123.45, 131.45, 149.45, 84.45, 86.45, 108.45, 104.45, 122.45, 120.45, 97.45, 107.45
2022-08-27,11,9,112.45, 140.45, 125.45, 103.45, 110.45, 118.45, 101.45, 115.45, 146.45, 143.45, 95.45, 142.45, 121.45, 92.45, 113.45, 101.45, 122.45, 101.45, 89.45, 127.45, 106.45, 117.45, 113.45, 128.45, 109.45, 133.45, 100.45, 103.45, 96.45, 88.45, 127.45, 116.45, 89.45, 88.45, 86.45, 74.45, 131.45, 86.45, 104.45, 152.45, 108.45, 105.45, 124.45, 102.45, 84.45, 142.45, 148.45, 113.45, 88.45, 130.45
2022-08-28,11,1,138.55, 119.25, 69.1, 128.05, 132.5, 123.5, 95.1, 132.35, 193.05, 147.15, 138.55, 133.9, 115.2, 64.45, 74.35, 91.7, 93.9, 93.65, 80.65, 79.45, 42.9, 109.95, 94.85, 52.6, 99.65, 49.7, 103.5, 105.45, 89.85, 80.2, 96.35, 139.4, 89.0, 77.85, 98.7, 116.75, 88.3, 113.45, 55.15, 58.400000000000006, 98.9, 148.8, 139.45, 129.65, 133.95, 51.3, 80.15, 64.25, 125.65, 116.75
2022-08-28,11,2,138.55, 126.25, 54.25, 134.55, 114.5, 119.35, 167.05, 130.55, 103.05, 143.1, 162.55, 95.5, 132.35, 172.55, 108.35, 73.1, 85.5, 97.25, 110.1, 76.95, 136.05, 67.25, 150.5, 112.5, 113.35, 159.35, 113.65, 116.9, 87.05, 84.75, 133.5, 145.35, 61.1, 71.1, 134.9, 110.25, 182.85, 104.65, 106.95, 103.05, 69.65, 63.9, 54.55, 117.5, 173.55, 128.95, 191.35, 117.45, 55.6, 175.65
